Quadrantes,ECL,ED,Tp,TUnP,TL,TiL
Norte,0.0,0.007543943308359028,0.7543943308359028,0.0,100.0,0.0
Leste,0.0,0.0,0.0,0.0,0.0,0.0
Sul,0.0,0.0,0.0,0.0,0.0,0.0
Oeste,0.8389999234244583,0.1035665346686231,5.6316769429641225,4.724976523898187,54.377381274593496,45.62261872540651
