Variável,CV,QCD
População total 2005,0.46514031484935053,0.27572105036590616
População total 2015,0.46125739263871934,0.2721828460474896
Áreas urbanizadas 2005,0.5443034472610682,0.3481349911190053
Áreas urbanizadas 2015,0.453794167109567,0.34281408928235074
Densidade urbana 2005,0.19387538705377563,0.0895316534300749
Densidade urbana 2015,0.18600209782322547,0.11493834226546645
