,R_2005,z_score_2005,R_2015,z_score_2015
count,25.0,25.0,25.0,25.0
mean,1.4933278527592,2.172750232306,0.9865388799211999,-0.8006844632036
std,0.861428855511256,2.641187922144063,0.3219999303765927,2.718510563939664
min,0.0,-1.8434825969,0.59018134858,-5.41875248544
25%,1.0210002369,0.25920092332,0.78906223467,-2.74927244312
50%,1.27261263898,2.36411021808,0.92945366061,-0.81874875315
75%,1.6548874482,3.31471786935,1.10672767174,0.93396806685
max,4.43816943972,9.30193191649,2.10658042208,6.35089773922
